Education,JoiningYear,City,PaymentTier,Age,Gender,ExperienceInCurrentDomain,LeaveOrNot,Salary,Department
Bachelors,2017,Bangalore,3,34,Male,0,0,49918,Sales
Bachelors,2013,Pune,1,28,Female,3,1,97792,IT
Bachelors,2014,New Delhi,3,38,Female,2,0,44063,Sales
Masters,2016,Bangalore,3,27,Male,5,1,50591,Sales
Masters,2017,Pune,3,24,Male,2,1,50384,Sales
Bachelors,2016,Bangalore,3,22,Male,0,0,43511,Sales
Bachelors,2015,New Delhi,3,38,Male,0,0,41245,Sales
Bachelors,2016,Bangalore,3,34,Female,2,1,44217,Sales
Bachelors,2016,Pune,3,23,Male,1,0,43789,Sales
Masters,2017,New Delhi,2,37,Male,2,0,75537,HR
Masters,2012,Bangalore,3,27,Male,5,1,55049,Sales
Bachelors,2016,Pune,3,34,Male,3,0,47613,Sales
Bachelors,2018,Pune,3,32,Male,5,1,44899,Sales
Bachelors,2016,Bangalore,3,39,Male,2,0,41786,Sales
Bachelors,2012,Bangalore,3,37,Male,4,0,43030,Sales
Bachelors,2017,Bangalore,1,29,Male,3,0,92947,IT
Bachelors,2014,Bangalore,3,34,Female,2,0,40326,Sales
Bachelors,2014,Pune,3,34,Male,4,0,44947,Sales
Bachelors,2015,Pune,2,30,Female,0,1,68215,HR
Bachelors,2016,New Delhi,2,22,Female,0,1,69923,HR
Bachelors,2012,Bangalore,3,37,Male,0,0,46141,Sales
Masters,2017,New Delhi,2,28,Male,4,0,70467,HR
Bachelors,2017,New Delhi,2,36,Male,3,0,66833,HR
Bachelors,2015,Bangalore,3,27,Male,5,0,42940,Sales
Bachelors,2017,Bangalore,3,29,Male,4,0,44907,Sales
Bachelors,2013,Bangalore,3,22,Female,0,0,44672,Sales
Bachelors,2016,Bangalore,3,37,Male,2,0,49654,Sales
Bachelors,2015,Bangalore,3,23,Male,1,0,49493,Sales
Bachelors,2013,Pune,2,31,Female,2,1,60116,HR
Masters,2017,New Delhi,2,30,Female,2,0,76401,HR
PHD,2013,New Delhi,3,25,Male,3,0,68771,Sales
Bachelors,2014,Bangalore,3,23,Male,1,0,47723,Sales
Bachelors,2018,Bangalore,3,26,Male,4,1,40536,Sales
Bachelors,2016,Bangalore,3,40,Male,5,0,40934,Sales
Bachelors,2017,Pune,2,37,Female,0,1,67110,HR
Bachelors,2014,Bangalore,1,30,Female,3,0,81793,IT
Bachelors,2012,New Delhi,3,29,Male,3,0,41056,Sales
