ID,Education,JoiningYear,City,PaymentTier,Age,Gender,ExperienceInCurrentDomain,LeaveOrNot,Salary,Department,Age_Group
1,Bachelors,2017,Bangalore,3,34,Male,0,0,49918,Sales,26-35
2,Bachelors,2013,Pune,1,28,Female,3,1,97792,IT,26-35
3,Bachelors,2014,New Delhi,3,38,Female,2,0,44063,Sales,36-45
4,Masters,2016,Bangalore,3,27,Male,5,1,50591,Sales,26-35
5,Masters,2017,Pune,3,24,Male,2,1,50384,Sales,18-25
6,Bachelors,2016,Bangalore,3,22,Male,0,0,43511,Sales,18-25
7,Bachelors,2015,New Delhi,3,38,Male,0,0,41245,Sales,36-45
8,Bachelors,2016,Bangalore,3,34,Female,2,1,44217,Sales,26-35
9,Bachelors,2016,Pune,3,23,Male,1,0,43789,Sales,18-25
10,Masters,2017,New Delhi,2,37,Male,2,0,75537,HR,36-45
11,Masters,2012,Bangalore,3,27,Male,5,1,55049,Sales,26-35
12,Bachelors,2016,Pune,3,34,Male,3,0,47613,Sales,26-35
13,Bachelors,2018,Pune,3,32,Male,5,1,44899,Sales,26-35
14,Bachelors,2016,Bangalore,3,39,Male,2,0,41786,Sales,36-45
15,Bachelors,2012,Bangalore,3,37,Male,4,0,43030,Sales,36-45
16,Bachelors,2017,Bangalore,1,29,Male,3,0,92947,IT,26-35
17,Bachelors,2014,Bangalore,3,34,Female,2,0,40326,Sales,26-35
18,Bachelors,2014,Pune,3,34,Male,4,0,44947,Sales,26-35
19,Bachelors,2015,Pune,2,30,Female,0,1,68215,HR,26-35
20,Bachelors,2016,New Delhi,2,22,Female,0,1,69923,HR,18-25
21,Bachelors,2012,Bangalore,3,37,Male,0,0,46141,Sales,36-45
22,Masters,2017,New Delhi,2,28,Male,4,0,70467,HR,26-35
23,Bachelors,2017,New Delhi,2,36,Male,3,0,66833,HR,36-45
24,Bachelors,2015,Bangalore,3,27,Male,5,0,42940,Sales,26-35
25,Bachelors,2017,Bangalore,3,29,Male,4,0,44907,Sales,26-35
26,Bachelors,2013,Bangalore,3,22,Female,0,0,44672,Sales,18-25
27,Bachelors,2016,Bangalore,3,37,Male,2,0,49654,Sales,36-45
28,Bachelors,2015,Bangalore,3,23,Male,1,0,49493,Sales,18-25
29,Bachelors,2013,Pune,2,31,Female,2,1,60116,HR,26-35
30,Masters,2017,New Delhi,2,30,Female,2,0,76401,HR,26-35
31,Phd,2013,New Delhi,3,25,Male,3,0,68771,Sales,26-35
32,Bachelors,2014,Bangalore,3,23,Male,1,0,47723,Sales,18-25
33,Bachelors,2018,Bangalore,3,26,Male,4,1,40536,Sales,26-35
34,Bachelors,2016,Bangalore,3,40,Male,5,0,40934,Sales,36-45
35,Bachelors,2017,Pune,2,37,Female,0,1,67110,HR,36-45
36,Bachelors,2014,Bangalore,1,30,Female,3,0,81793,IT,26-35
37,Bachelors,2012,New Delhi,3,29,Male,3,0,41056,Sales,26-35
38,Bachelors,2018,New Delhi,2,34,Female,0,1,62057,HR,26-35
39,Bachelors,2017,Pune,2,29,Female,2,1,63700,HR,26-35
40,Bachelors,2014,Pune,3,30,Male,4,0,45587,Sales,26-35
41,Bachelors,2015,Bangalore,3,36,Male,1,0,44808,Sales,36-45
42,Masters,2017,New Delhi,2,23,Male,1,0,79039,HR,18-25
43,Bachelors,2013,Bangalore,3,30,Male,3,1,40647,Sales,26-35
44,Bachelors,2014,Bangalore,3,36,Male,0,0,41138,Sales,36-45
45,Bachelors,2015,Pune,3,39,Male,4,0,44704,Sales,36-45
46,Bachelors,2014,Bangalore,3,23,Female,1,0,49221,Sales,18-25
47,Phd,2012,New Delhi,3,27,Male,5,0,69804,Sales,26-35
48,Masters,2013,New Delhi,3,35,Male,2,0,56096,Sales,36-45
49,Masters,2017,New Delhi,2,34,Male,0,0,72076,HR,26-35
50,Bachelors,2013,Bangalore,3,30,Female,1,0,42195,Sales,26-35
51,Phd,2017,New Delhi,3,34,Male,2,0,62822,Sales,26-35
52,Bachelors,2015,Pune,2,26,Female,4,1,62623,HR,26-35
53,Bachelors,2016,Bangalore,3,34,Female,0,0,47205,Sales,26-35
54,Bachelors,2014,Bangalore,3,31,Female,5,0,44474,Sales,26-35
55,Bachelors,2017,New Delhi,3,31,Female,5,0,45696,Sales,26-35
56,Phd,2013,New Delhi,3,28,Male,2,0,68752,Sales,26-35
57,Bachelors,2016,Bangalore,3,38,Male,2,0,47888,Sales,36-45
58,Masters,2014,Pune,3,39,Female,2,0,50366,Sales,36-45
59,Bachelors,2013,Pune,3,32,Male,4,0,43034,Sales,26-35
60,Masters,2017,Pune,2,36,Male,2,1,75863,HR,36-45
61,Masters,2013,New Delhi,3,29,Male,3,0,52874,Sales,26-35
62,Bachelors,2015,Bangalore,3,30,Male,5,0,48029,Sales,26-35
63,Phd,2013,Bangalore,2,25,Male,3,1,85026,HR,26-35
64,Bachelors,2014,Pune,1,22,Female,0,1,84857,IT,18-25
65,Bachelors,2016,Bangalore,3,34,Male,4,0,48465,Sales,26-35
66,Bachelors,2018,Bangalore,3,40,Male,1,1,45334,Sales,36-45
67,Phd,2013,Bangalore,3,26,Male,4,0,63564,Sales,26-35
68,Bachelors,2014,New Delhi,3,28,Male,0,0,47480,Sales,26-35
69,Bachelors,2015,Bangalore,3,24,Female,2,0,44641,Sales,18-25
70,Masters,2017,Bangalore,3,40,Female,2,1,51137,Sales,36-45
71,Bachelors,2018,Bangalore,3,23,Female,1,1,48718,Sales,18-25
72,Masters,2017,Bangalore,3,31,Male,4,0,54377,Sales,26-35
73,Bachelors,2014,Pune,3,25,Female,3,0,44158,Sales,26-35
74,Bachelors,2014,Bangalore,1,27,Male,5,0,87359,IT,26-35
75,Masters,2017,New Delhi,2,25,Female,3,1,78782,HR,26-35
76,Bachelors,2015,Bangalore,3,40,Male,0,1,49399,Sales,36-45
77,Bachelors,2014,Bangalore,1,23,Female,1,0,84812,IT,18-25
78,Bachelors,2017,Bangalore,3,23,Female,1,0,47772,Sales,18-25
79,Bachelors,2012,Bangalore,3,39,Male,1,0,47367,Sales,36-45
80,Phd,2015,New Delhi,1,37,Male,1,0,123238,IT,36-45
81,Bachelors,2017,Pune,3,38,Male,2,0,44938,Sales,36-45
82,Bachelors,2013,Bangalore,3,31,Female,0,1,48807,Sales,26-35
83,Bachelors,2016,Bangalore,3,38,Male,5,0,45742,Sales,36-45
84,Bachelors,2017,Bangalore,3,25,Female,3,0,41495,Sales,26-35
85,Bachelors,2015,Bangalore,3,27,Female,5,1,41659,Sales,26-35
86,Bachelors,2016,Pune,2,36,Male,0,1,69305,HR,36-45
87,Bachelors,2017,Pune,2,27,Female,5,1,64731,HR,26-35
88,Masters,2015,Pune,2,32,Female,4,0,76081,HR,26-35
89,Bachelors,2014,Bangalore,3,28,Male,4,0,42555,Sales,26-35
90,Masters,2012,New Delhi,3,32,Male,2,0,57433,Sales,26-35
91,Bachelors,2018,Bangalore,3,30,Male,0,1,45039,Sales,26-35
92,Bachelors,2015,New Delhi,3,22,Male,0,0,48981,Sales,18-25
93,Bachelors,2017,New Delhi,2,34,Female,5,0,61316,HR,26-35
94,Masters,2013,New Delhi,3,36,Male,2,0,50906,Sales,36-45
95,Bachelors,2014,Bangalore,3,39,Male,3,1,49576,Sales,36-45
96,Phd,2018,Bangalore,3,26,Male,4,1,61288,Sales,26-35
97,Bachelors,2016,Bangalore,3,31,Female,0,0,47229,Sales,26-35
98,Bachelors,2014,Bangalore,3,27,Male,5,1,40058,Sales,26-35
